cancion,artista,playlist,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,Lista Rep,liked
Cumbia sobre el río / Interludio,Celso Piña,0EfZGNw0JHvoCkNfnMDYAU,77wwKKYeNZnXZ8xChSiSxN,0.711,0.816,1,-6.397,0.0515,0.0237,0.797,0.294,0.861,Cumbias de Microbusero,0
Vidrio,Mxcl,0EfZGNw0JHvoCkNfnMDYAU,3fNTpfno5KCTm1MJbYRUZo,0.794,0.538,7,-7.557,0.0813,0.415,0.0,0.0582,0.895,Cumbias de Microbusero,0
Sin Ti No Sé Vivir,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,4mAQCtKWmJxJY6MNNdv7xF,0.653,0.411,2,-5.921,0.0329,0.371,0.0,0.116,0.774,Cumbias de Microbusero,0
Eres Mi Sueño,Septeto Acarey,0EfZGNw0JHvoCkNfnMDYAU,5ZA9ItQp7DyG6pPkSsq3Bn,0.626,0.801,3,-5.144,0.0342,0.261,2.46e-05,0.203,0.903,Cumbias de Microbusero,0
Hechicería,La Sonora Dinamita,0EfZGNw0JHvoCkNfnMDYAU,0hDAk9lEjS44Azh7JzBaSM,0.773,0.728,7,-3.816,0.0603,0.209,0.0,0.117,0.495,Cumbias de Microbusero,0
Pidele Perdon,Wence Y Su Grupo,0EfZGNw0JHvoCkNfnMDYAU,6WSTi191mmOIeh7CzIDjAQ,0.723,0.541,9,-12.249,0.05,0.355,0.02,0.202,0.96,Cumbias de Microbusero,0
Hoy Tengo Ganas De Ti,Wence Y Su Grupo,0EfZGNw0JHvoCkNfnMDYAU,5RzuX5bll0Kvy90lLGvnZS,0.682,0.472,4,-11.54,0.0515,0.372,4.7e-06,0.288,0.912,Cumbias de Microbusero,0
Me Ganaron Tu Cariño,Wence Y Su Grupo,0EfZGNw0JHvoCkNfnMDYAU,2To8hTYd1ibbMDDeLvYnVE,0.747,0.634,9,-11.314,0.0368,0.0878,0.000891,0.0406,0.962,Cumbias de Microbusero,0
La Tortuga,Yerba Brava,0EfZGNw0JHvoCkNfnMDYAU,4lcQKkwO1AyNYwJR6AwgRe,0.791,0.808,0,-3.463,0.112,0.134,0.0,0.367,0.824,Cumbias de Microbusero,0
Cumbia Villera,Yerba Brava,0EfZGNw0JHvoCkNfnMDYAU,2ysuQkl9VdijmxlFKHP5Ei,0.764,0.705,4,-4.517,0.0462,0.0437,0.00112,0.0526,0.962,Cumbias de Microbusero,0
Pibe Cantina,Yerba Brava,0EfZGNw0JHvoCkNfnMDYAU,5KaHTwUkmynaHqs3GuDIVe,0.782,0.701,9,-4.777,0.0443,0.0123,0.000167,0.142,0.846,Cumbias de Microbusero,0
El Amor,"Tito ""El Bambino""",0EfZGNw0JHvoCkNfnMDYAU,0H5mgVkVWtijaYE6jNmkff,0.621,0.76,11,-7.949,0.0487,0.185,2.32e-05,0.0791,0.62,Cumbias de Microbusero,0
Maruja,La Sonora De Macondo,0EfZGNw0JHvoCkNfnMDYAU,1Q4YDw5MSxuITfXaIm7Ycr,0.753,0.667,2,-5.115,0.0423,0.199,0.000168,0.0894,0.905,Cumbias de Microbusero,0
Sin Alma Y Sin Corazon,La Sonora De Macondo,0EfZGNw0JHvoCkNfnMDYAU,4p430aqYL99AnS6vdcyrw6,0.844,0.714,0,-5.241,0.0396,0.242,1.01e-06,0.355,0.867,Cumbias de Microbusero,0
Ay Amor,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,6Yvg4TTg3VJ1xajE790MtJ,0.598,0.467,2,-7.615,0.0569,0.38,4.25e-06,0.112,0.933,Cumbias de Microbusero,0
Tonta,Grupo Mojado,0EfZGNw0JHvoCkNfnMDYAU,46MuirMMSyr2aqbCdnPyBh,0.562,0.595,9,-12.875,0.077,0.181,0.00525,0.0472,0.871,Cumbias de Microbusero,0
Trapeaste conmigo,Grupo Mojado,0EfZGNw0JHvoCkNfnMDYAU,4WtICkpsJ5SjhWoYzDHiBz,0.756,0.74,9,-10.341,0.0501,0.589,1.21e-06,0.122,0.904,Cumbias de Microbusero,0
Ojitos Mentirosos,Tropicalísimo Apache,0EfZGNw0JHvoCkNfnMDYAU,1cOy0Jd1F4VO7ry3ZdixWI,0.821,0.617,10,-6.613,0.0373,0.415,6.6e-05,0.257,0.971,Cumbias de Microbusero,0
Súbale Hay Lugares,El Chevo,0EfZGNw0JHvoCkNfnMDYAU,1qQf6w8UypCm7DNst9X9ZJ,0.8,0.797,5,-6.704,0.153,0.014,0.0,0.259,0.706,Cumbias de Microbusero,0
Ya Se Ha Muerto Mi Abuelo,Juaneco Y Su Combo,0EfZGNw0JHvoCkNfnMDYAU,01coR52VHa06J1DnMkls29,0.585,0.533,2,-11.101,0.0417,0.11,0.00212,0.377,0.924,Cumbias de Microbusero,0
La Última Coca del Desierto,Los Master Plus,0EfZGNw0JHvoCkNfnMDYAU,12OayVagp9stLqBbJ2rxWq,0.474,0.758,4,-4.737,0.0569,0.0569,0.0,0.772,0.892,Cumbias de Microbusero,0
Prisionera,Villa Cariño,0EfZGNw0JHvoCkNfnMDYAU,2xrbnCU22dWCJostDEWvLl,0.546,0.673,9,-4.419,0.0323,0.0151,0.0,0.165,0.964,Cumbias de Microbusero,0
Cumbia Sampuesana,Aniceto Molina,0EfZGNw0JHvoCkNfnMDYAU,4DT7amzC7kRipgLP0BHQhp,0.756,0.671,4,-5.399,0.0993,0.0346,0.0204,0.0225,0.967,Cumbias de Microbusero,0
"Llorando Se Fue ""Lambada""",Cuarteto Continental de Alberto Maraví,0EfZGNw0JHvoCkNfnMDYAU,2X5nEYIzulPNs3abgszxXH,0.681,0.576,4,-7.806,0.0392,0.593,0.000256,0.117,0.967,Cumbias de Microbusero,0
Regresa Mi Vida,Grupo Cañaveral De Humberto Pabón,0EfZGNw0JHvoCkNfnMDYAU,7xb4uczRe1aDkkfdeVl17v,0.647,0.627,0,-7.783,0.0855,0.283,0.0,0.0451,0.806,Cumbias de Microbusero,0
El Reo Ausente,Nery Pedraza,0EfZGNw0JHvoCkNfnMDYAU,6feUE7Z9pGHfCHbh6EOA0j,0.815,0.593,8,-5.756,0.0333,0.3,0.00392,0.357,0.781,Cumbias de Microbusero,0
Nunca Es Suficiente,Los Ángeles Azules,0EfZGNw0JHvoCkNfnMDYAU,0HlMshB5JmZjPNbOuOgFHN,0.796,0.499,2,-6.166,0.0404,0.392,0.0,0.0867,0.798,Cumbias de Microbusero,0
¿Dónde Estarás?,Raymix,0EfZGNw0JHvoCkNfnMDYAU,55fNwvY5YPrQgndjwBywM8,0.551,0.544,7,-7.608,0.0302,0.136,0.0,0.192,0.916,Cumbias de Microbusero,0
Que Te Vaya Bien,Grupo Jalado,0EfZGNw0JHvoCkNfnMDYAU,5IdaVuUzEDF3T56U5vS5ck,0.822,0.705,7,-3.147,0.0373,0.495,1.2e-05,0.115,0.938,Cumbias de Microbusero,0
Vienes y Te Vas,Los Askis,0EfZGNw0JHvoCkNfnMDYAU,0sVeyTEVECTBiBdx9u7VUj,0.729,0.537,9,-7.604,0.048,0.123,0.0,0.102,0.934,Cumbias de Microbusero,0
Tus Jefes No Me Quieren,Grupo Ensamble,0EfZGNw0JHvoCkNfnMDYAU,16OHjORdq0UoVilD02ZzXN,0.637,0.547,3,-8.43,0.097,0.174,1.68e-05,0.107,0.963,Cumbias de Microbusero,0
Rumba Cha Cha,Grupo Kual?,0EfZGNw0JHvoCkNfnMDYAU,5OSUQtHDX5L0bW8MbLFlS7,0.778,0.728,10,-7.321,0.0328,0.00146,6.29e-05,0.102,0.892,Cumbias de Microbusero,0
La Escandalosa,Bahia Libre,0EfZGNw0JHvoCkNfnMDYAU,6ZFSUckmRIs6U3aeUvb8Ag,0.494,0.723,10,-5.071,0.0397,0.0811,0.00173,0.129,0.873,Cumbias de Microbusero,0
Me llamo Raquel,Banda Machos,0EfZGNw0JHvoCkNfnMDYAU,6sr4ax5EHAsAxC4jjEaZJ0,0.618,0.744,0,-5.426,0.0583,0.166,0.0,0.234,0.958,Cumbias de Microbusero,0
Master Of Puppets,Metallica,37i9dQZF1DZ06evO1sJmec,2MuWTIM3b0YEAskbeeFE1i,0.543,0.836,4,-9.11,0.0353,0.000647,0.431,0.153,0.56,This is Metallica,1
Enter Sandman,Metallica,37i9dQZF1DZ06evO1sJmec,5sICkBXVmaCQk5aISGR3x1,0.577,0.828,6,-8.691,0.0298,0.00213,0.0114,0.0581,0.604,This is Metallica,1
Whiskey In The Jar,Metallica,37i9dQZF1DZ06evO1sJmec,2R6UrJ8uWbSIiHWmvRQvN8,0.511,0.97,10,-3.72,0.0414,5.6e-06,0.00136,0.18,0.566,This is Metallica,1
For Whom The Bell Tolls - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,2dXsILW8gzkosqleHAvl0v,0.518,0.858,0,-6.147,0.0672,0.00563,0.00349,0.0598,0.249,This is Metallica,1
One,Metallica,37i9dQZF1DZ06evO1sJmec,5IX4TbIR5mMHGE4wiWwKW0,0.437,0.695,7,-9.447,0.0617,0.00111,0.0857,0.124,0.413,This is Metallica,1
Nothing Else Matters,Metallica,37i9dQZF1DZ06evO1sJmec,0nLiqZ6A27jJri2VCalIUs,0.553,0.362,4,-11.218,0.0263,0.0458,6.01e-06,0.075,0.158,This is Metallica,1
Fuel,Metallica,37i9dQZF1DZ06evO1sJmec,6FUwPb4mGlUDbx42uspXaZ,0.49,0.951,1,-3.777,0.0477,2.02e-05,0.0027,0.0314,0.589,This is Metallica,1
Fade To Black - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,5nekfiTN45vlxG0eNJQQye,0.256,0.924,7,-6.685,0.113,0.00369,0.234,0.114,0.28,This is Metallica,1
Seek & Destroy - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,28WmNsclKsrVmdv3tDmoYU,0.445,0.964,9,-5.493,0.282,0.037,0.0132,0.0773,0.448,This is Metallica,1
The Unforgiven,Metallica,37i9dQZF1DZ06evO1sJmec,4aYLAF6ckQ5ooGGGM7sWAa,0.54,0.584,7,-9.579,0.0254,0.0108,0.00296,0.253,0.244,This is Metallica,1
The Unforgiven II,Metallica,37i9dQZF1DZ06evO1sJmec,6nswV1Lz3OZkaiCJfmVUOa,0.497,0.89,8,-4.559,0.0445,0.00055,0.00129,0.255,0.249,This is Metallica,1
Battery,Metallica,37i9dQZF1DZ06evO1sJmec,6UB9mShVLbMm0W4e6vud4C,0.481,0.928,11,-8.799,0.0672,0.00022,0.558,0.106,0.427,This is Metallica,1
The Day That Never Comes,Metallica,37i9dQZF1DZ06evO1sJmec,13Uvqll8OQDjw3wDweIK9y,0.334,0.982,4,-2.293,0.0619,9.11e-05,0.149,0.106,0.501,This is Metallica,1
Sad But True,Metallica,37i9dQZF1DZ06evO1sJmec,1PhLYngBKbeDtdmDzCg3Pb,0.633,0.846,7,-6.347,0.0337,0.000819,0.00139,0.0762,0.448,This is Metallica,1
Turn The Page,Metallica,37i9dQZF1DZ06evO1sJmec,1aXFBWnnPFRKUN7vuIA5h0,0.426,0.813,8,-3.963,0.0318,1.94e-05,0.022,0.0937,0.228,This is Metallica,1
Hardwired,Metallica,37i9dQZF1DZ06evO1sJmec,0QV3swr7L8MZr72lL2izV1,0.128,0.991,11,-3.289,0.0582,1.11e-05,0.00362,0.219,0.53,This is Metallica,1
Whiplash - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,38fIaph07Kd8ZIN6l17ZJs,0.384,0.916,4,-6.468,0.0983,0.000611,0.422,0.14,0.192,This is Metallica,1
Wherever I May Roam,Metallica,37i9dQZF1DZ06evO1sJmec,22GbAGb80ZZNgm2yrBMnpR,0.55,0.824,9,-7.848,0.0347,0.000362,0.00115,0.0865,0.332,This is Metallica,1
The Memory Remains,Metallica,37i9dQZF1DZ06evO1sJmec,6RbC38oDCIXD8V2AOU1Tjr,0.435,0.901,10,-3.694,0.0429,0.000303,0.0072,0.185,0.547,This is Metallica,1
St. Anger,Metallica,37i9dQZF1DZ06evO1sJmec,5JAnXx5BBES4FEf4d4t4CC,0.396,0.947,2,-2.652,0.0477,0.00115,0.0179,0.089,0.443,This is Metallica,1
Ride The Lightning (Remastered),Metallica,37i9dQZF1DZ06evO1sJmec,36DLF96pjKydN0MZtsahQz,0.265,0.973,9,-6.129,0.173,5.15e-05,0.0942,0.205,0.27,This is Metallica,1
Until It Sleeps,Metallica,37i9dQZF1DZ06evO1sJmec,2Iv4HSoMX2fDeXFcOJWyWX,0.568,0.92,8,-4.434,0.0297,0.000248,0.0714,0.149,0.719,This is Metallica,1
Fight Fire With Fire - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,6ckozbGmOusAnLT2LEbERy,0.283,0.988,0,-7.017,0.111,3.75e-05,0.728,0.0712,0.133,This is Metallica,1
The Four Horsemen - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,2YTwVDQOSGclX2N3AKetOP,0.224,0.938,0,-6.907,0.408,0.00157,0.0765,0.106,0.327,This is Metallica,1
All Nightmare Long,Metallica,37i9dQZF1DZ06evO1sJmec,3e7wv9TChjWrnXHrk5NyBU,0.268,0.974,9,-2.948,0.114,0.00067,0.00106,0.0772,0.342,This is Metallica,1
Mama Said,Metallica,37i9dQZF1DZ06evO1sJmec,3dWNUqrgkQakv9fj5epwPK,0.448,0.504,8,-7.749,0.0317,0.0171,0.000849,0.38,0.391,This is Metallica,1
Welcome Home (Sanitarium) - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,1FPSkRkDlthbAceSIIWc4C,0.306,0.766,0,-9.693,0.0329,0.000324,0.101,0.102,0.42,This is Metallica,1
"Die, Die My Darling",Metallica,37i9dQZF1DZ06evO1sJmec,0t7LcUic4qolMCysPrKeAd,0.438,0.976,10,-2.757,0.0576,0.000369,0.0,0.194,0.791,This is Metallica,1
The Unforgiven III,Metallica,37i9dQZF1DZ06evO1sJmec,0qbV4e18lWrTTxlswVoLbI,0.297,0.692,4,-5.625,0.0344,0.00196,3.75e-06,0.115,0.103,This is Metallica,1
Don't Tread On Me,Metallica,37i9dQZF1DZ06evO1sJmec,2b7r6fN91KiHnp00aqHZ7x,0.677,0.835,4,-7.627,0.0411,0.00546,0.00538,0.297,0.689,This is Metallica,1
Creeping Death (Remastered),Metallica,37i9dQZF1DZ06evO1sJmec,4q9QVIaLqjbcoqeCfM2zan,0.31,0.977,6,-5.478,0.164,0.000219,0.273,0.0785,0.179,This is Metallica,1
Blackened,Metallica,37i9dQZF1DZ06evO1sJmec,0Tp7uSZK21LZTbZRBNb9ud,0.445,0.802,4,-8.965,0.123,6.22e-05,0.00202,0.112,0.499,This is Metallica,1
King Nothing,Metallica,37i9dQZF1DZ06evO1sJmec,30RKGpKHqr7ytcTljw436k,0.527,0.907,8,-5.772,0.0377,8.39e-05,0.00755,0.0891,0.364,This is Metallica,1
I Disappear,Metallica,37i9dQZF1DZ06evO1sJmec,46tSt69Xw10Ej8Rn7wJmFt,0.536,0.928,1,-3.64,0.0498,0.000213,6.56e-05,0.0411,0.46,This is Metallica,1
The Thing That Should Not Be,Metallica,37i9dQZF1DZ06evO1sJmec,7vFC68CBMKu99p4tIz6yzx,0.679,0.719,9,-10.134,0.032,0.000116,0.354,0.128,0.445,This is Metallica,1
Harvester Of Sorrow,Metallica,37i9dQZF1DZ06evO1sJmec,1V3wAgMB4ESaN4rStlrUNz,0.658,0.842,4,-8.851,0.0397,0.000207,0.0771,0.316,0.643,This is Metallica,1
Orion - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,3z9e5b0P7zoIeV6I3iyX8O,0.365,0.67,9,-10.014,0.0386,0.00142,0.892,0.111,0.4,This is Metallica,1
Tuesday's Gone,Metallica,37i9dQZF1DZ06evO1sJmec,1OX2eJLfU0SHLzcy9sv9Vj,0.457,0.594,8,-5.722,0.028,0.0116,5.11e-06,0.691,0.33,This is Metallica,1
Leper Messiah,Metallica,37i9dQZF1DZ06evO1sJmec,6XN00D9ejjEt1cW1sY44Gu,0.379,0.808,4,-8.605,0.0684,5.23e-05,0.794,0.322,0.557,This is Metallica,1
...And Justice For All,Metallica,37i9dQZF1DZ06evO1sJmec,0eXz8pS25MoeUguNPR9VvD,0.547,0.799,9,-7.47,0.128,0.000105,0.0955,0.0612,0.409,This is Metallica,1
No Leaf Clover - Live,Metallica,37i9dQZF1DZ06evO1sJmec,2UIuYNBg8r5pkoG2MjdLZT,0.246,0.95,3,-5.034,0.107,0.000598,0.00166,0.959,0.359,This is Metallica,1
Moth Into Flame,Metallica,37i9dQZF1DZ06evO1sJmec,3JjZq20Kv6UphyyirAaY9A,0.163,0.977,4,-3.585,0.0591,3.64e-05,0.0052,0.0555,0.369,This is Metallica,1
Disposable Heroes,Metallica,37i9dQZF1DZ06evO1sJmec,4tPHBRIPsB55nssjvKDbjj,0.292,0.931,4,-7.618,0.0919,4.27e-05,0.468,0.0901,0.427,This is Metallica,1
Motorbreath - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,6RqEJvpEzzlwj8g0wKG1ln,0.289,0.934,1,-6.085,0.157,0.000121,0.0515,0.086,0.347,This is Metallica,1
Trapped Under Ice - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,3J8jTThxk8GtxyoupHtyrb,0.252,0.988,9,-5.291,0.203,8.81e-05,0.0451,0.0516,0.0529,This is Metallica,1
Hit The Lights - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,2620eph8P9p5FQ1oQWcWuk,0.264,0.97,4,-5.526,0.205,4.79e-05,0.187,0.12,0.278,This is Metallica,1
"Damage, Inc.",Metallica,37i9dQZF1DZ06evO1sJmec,3n7b078PcVbHhUaYhBWIgZ,0.326,0.848,11,-10.567,0.167,0.000467,0.466,0.134,0.143,This is Metallica,1
Jump In The Fire - Remastered,Metallica,37i9dQZF1DZ06evO1sJmec,4fVBFyglBhMf0erfF7pBJp,0.29,0.908,5,-5.677,0.106,0.00606,0.0118,0.33,0.659,This is Metallica,1
Eye Of The Beholder,Metallica,37i9dQZF1DZ06evO1sJmec,7p2yIOf8YXJUSmUnG3TAWr,0.65,0.798,2,-9.242,0.0434,0.00206,0.00306,0.0988,0.584,This is Metallica,1
Devil's Dance,Metallica,37i9dQZF1DZ06evO1sJmec,3IHyDrQOASm7R0WBamMJO8,0.611,0.792,0,-4.836,0.0327,4.04e-05,0.146,0.0587,0.477,This is Metallica,1
Deutschland,Rammstein,37i9dQZF1DZ06evO3RbzfW,2bPGTMB5sFfFYQ2YvSmup0,0.521,0.895,7,-5.242,0.0442,5.54e-05,0.349,0.0985,0.237,This is Rammstein,1
Dicke Titten,Rammstein,37i9dQZF1DZ06evO3RbzfW,5KTBaWu8IOczQ0sPWzZ7MY,0.63,0.823,6,-4.857,0.0496,0.0205,0.00458,0.0377,0.565,This is Rammstein,1
Du hast,Rammstein,37i9dQZF1DZ06evO3RbzfW,5awDvzxWfd53SSrsRZ8pXO,0.64,0.922,9,-6.283,0.0385,0.00369,0.055,0.332,0.716,This is Rammstein,1
Sonne,Rammstein,37i9dQZF1DZ06evO3RbzfW,3gVhsZtseYtY1fMuyYq06F,0.51,0.917,4,-4.806,0.0854,0.0054,0.000133,0.396,0.313,This is Rammstein,1
Ausländer,Rammstein,37i9dQZF1DZ06evO3RbzfW,7j43FohbLVulScL7S9sQZk,0.681,0.912,0,-4.159,0.0912,0.000757,0.00136,0.359,0.479,This is Rammstein,1
Armee der Tristen,Rammstein,37i9dQZF1DZ06evO3RbzfW,514GW1c9Jn21KgZmO6mZIE,0.447,0.901,2,-5.397,0.0491,0.000415,0.000103,0.225,0.334,This is Rammstein,1
Engel,Rammstein,37i9dQZF1DZ06evO3RbzfW,0xrkyEMkG4dVa5OMLQZOX8,0.637,0.658,2,-5.775,0.0291,0.00918,0.00229,0.295,0.328,This is Rammstein,1
Ich will,Rammstein,37i9dQZF1DZ06evO3RbzfW,3X0K6fII7VIwL1URPrp8Ko,0.648,0.896,2,-4.254,0.041,0.00138,0.000819,0.0879,0.468,This is Rammstein,1
Radio,Rammstein,37i9dQZF1DZ06evO3RbzfW,5vZ4IeUenK2cHub2d7yfWk,0.652,0.894,0,-5.145,0.0409,0.00404,0.00381,0.124,0.76,This is Rammstein,1
Angst,Rammstein,37i9dQZF1DZ06evO3RbzfW,0UuNO0yYvsMPlyLF7RfQlg,0.639,0.86,11,-4.27,0.069,0.000306,0.00549,0.0507,0.328,This is Rammstein,1
Amerika,Rammstein,37i9dQZF1DZ06evO3RbzfW,1a8JpAL3vbAdXYrEABvOtb,0.608,0.885,2,-4.296,0.0963,0.00258,1.33e-05,0.392,0.518,This is Rammstein,1
Feuer frei!,Rammstein,37i9dQZF1DZ06evO3RbzfW,5aNH8inF5BsbThDeOLs7zs,0.491,0.966,3,-3.974,0.0463,9.12e-05,0.346,0.153,0.223,This is Rammstein,1
Zeig dich,Rammstein,37i9dQZF1DZ06evO3RbzfW,3d3k8g4GTVx9EFIFlOZOEX,0.545,0.942,0,-4.283,0.0417,0.00108,0.0246,0.0585,0.365,This is Rammstein,1
Zick Zack,Rammstein,37i9dQZF1DZ06evO3RbzfW,2w7Ca8DNYXBCgA6Bht7o0N,0.669,0.814,5,-5.375,0.0681,0.00118,0.00131,0.0737,0.398,This is Rammstein,1
Du riechst so gut,Rammstein,37i9dQZF1DZ06evO3RbzfW,4yUcHLkHUwAPpKN0Uvdo8I,0.676,0.747,3,-7.732,0.0308,0.000111,0.203,0.356,0.797,This is Rammstein,1
Mein Herz brennt,Rammstein,37i9dQZF1DZ06evO3RbzfW,5ArNGisLzrNOIVwWajRRdt,0.501,0.76,2,-5.802,0.0343,0.00268,0.0616,0.152,0.138,This is Rammstein,1
Puppe,Rammstein,37i9dQZF1DZ06evO3RbzfW,2iFgHPoa7FNHwgLnjXzu7F,0.581,0.822,11,-7.341,0.0574,0.0229,0.0,0.126,0.3,This is Rammstein,1
Zeit,Rammstein,37i9dQZF1DZ06evO3RbzfW,2KsHzM4L7ThhNJB6MHXkPx,0.55,0.569,7,-7.683,0.0462,0.132,1.47e-05,0.174,0.0518,This is Rammstein,1
Asche zu Asche,Rammstein,37i9dQZF1DZ06evO3RbzfW,407eqFGqQc40KPf43YrQ44,0.563,0.906,9,-7.503,0.0734,0.00164,0.0179,0.0722,0.71,This is Rammstein,1
Links 2 3 4,Rammstein,37i9dQZF1DZ06evO3RbzfW,52XYwQKlXp7scE7KrBBCID,0.624,0.904,4,-4.774,0.0479,0.00112,0.0231,0.604,0.649,This is Rammstein,1
Was ich liebe,Rammstein,37i9dQZF1DZ06evO3RbzfW,4anzVbFPUuZTw0KQeZ0qnu,0.571,0.665,2,-4.953,0.044,0.001,0.0621,0.0874,0.582,This is Rammstein,1
Giftig,Rammstein,37i9dQZF1DZ06evO3RbzfW,3Ye7vnZdrO2Gq5IyyH3cOp,0.608,0.845,2,-4.463,0.0522,0.0031,0.000133,0.0904,0.508,This is Rammstein,1
Mein Teil,Rammstein,37i9dQZF1DZ06evO3RbzfW,39RKlCfLoqb8o2aXfpVfjW,0.47,0.959,10,-4.338,0.075,0.00535,0.0101,0.141,0.199,This is Rammstein,1
Rammstein,Rammstein,37i9dQZF1DZ06evO3RbzfW,0Zfh4uDmJz3D44Qy9nYMqu,0.657,0.708,11,-7.69,0.0564,0.00155,0.763,0.215,0.201,This is Rammstein,1
Mutter,Rammstein,37i9dQZF1DZ06evO3RbzfW,7jfZybgHr6yzp4iuMS2K8u,0.491,0.616,4,-6.53,0.0349,0.0152,0.00045,0.125,0.0824,This is Rammstein,1
Ich tu dir weh,Rammstein,37i9dQZF1DZ06evO3RbzfW,7ritPWOWvsthxFDxOz1OjH,0.295,0.878,2,-5.034,0.0541,0.00112,0.191,0.113,0.295,This is Rammstein,1
Ohne dich,Rammstein,37i9dQZF1DZ06evO3RbzfW,4aFC7Mes7CW5vHcb8ZApAx,0.424,0.59,2,-5.531,0.0294,0.00389,0.000432,0.114,0.204,This is Rammstein,1
Rosenrot,Rammstein,37i9dQZF1DZ06evO3RbzfW,50LmbBKCBeDRKYvpR7ApjG,0.591,0.629,8,-5.584,0.0273,0.00144,0.431,0.0705,0.183,This is Rammstein,1
Wollt ihr das Bett in Flammen sehen,Rammstein,37i9dQZF1DZ06evO3RbzfW,2MC5MLUdhrVUWGHUFHvaLF,0.673,0.766,2,-7.342,0.0394,2.37e-05,0.673,0.699,0.641,This is Rammstein,1
Waidmanns Heil,Rammstein,37i9dQZF1DZ06evO3RbzfW,2qiNfSncVqWp4Do6D4a3Le,0.578,0.969,9,-3.894,0.0317,0.00113,0.0234,0.0579,0.684,This is Rammstein,1
Keine Lust,Rammstein,37i9dQZF1DZ06evO3RbzfW,7eeDeUM9E7b0vkDfRz20Zt,0.534,0.892,5,-4.877,0.0537,0.000256,0.0137,0.232,0.28,This is Rammstein,1
Sehnsucht,Rammstein,37i9dQZF1DZ06evO3RbzfW,3oWFQPp5lL5x907hCcCRa9,0.6,0.954,11,-5.463,0.0555,0.0086,0.624,0.0775,0.665,This is Rammstein,1
Heirate mich,Rammstein,37i9dQZF1DZ06evO3RbzfW,33LTCp3HM36k7KuB7M3IHd,0.651,0.867,6,-7.88,0.103,0.000857,0.000297,0.202,0.479,This is Rammstein,1
Haifisch,Rammstein,37i9dQZF1DZ06evO3RbzfW,5392GpKmAP3UvIAfHC8LAW,0.627,0.842,9,-4.215,0.0375,0.000832,0.898,0.115,0.309,This is Rammstein,1
"Reise, Reise",Rammstein,37i9dQZF1DZ06evO3RbzfW,6bvTzuFABmFnAAmVZ3nlMh,0.475,0.816,6,-5.502,0.0644,0.0027,0.366,0.332,0.248,This is Rammstein,1
Mein Land,Rammstein,37i9dQZF1DZ06evO3RbzfW,1Cssm6TMieYSFz8gQyPzxa,0.378,0.905,8,-5.025,0.0351,0.000108,0.12,0.223,0.356,This is Rammstein,1
Halleluja,Rammstein,37i9dQZF1DZ06evO3RbzfW,5lGk2d6vYXSv5RiLMHLsCZ,0.575,0.846,9,-5.559,0.0324,8.98e-05,0.0991,0.104,0.357,This is Rammstein,1
Pussy,Rammstein,37i9dQZF1DZ06evO3RbzfW,50AB24h51HlBrp6PqOg50k,0.573,0.773,7,-4.629,0.0442,0.00158,0.0957,0.0734,0.541,This is Rammstein,1
Moskau,Rammstein,37i9dQZF1DZ06evO3RbzfW,4L9UGREMQBfYLmGwlACgTV,0.493,0.963,11,-3.41,0.0638,2.25e-05,0.667,0.305,0.305,This is Rammstein,1
Benzin,Rammstein,37i9dQZF1DZ06evO3RbzfW,1XanLfYUUBB6bLbnSh1KyU,0.527,0.947,4,-4.205,0.0574,0.000393,0.00372,0.075,0.206,This is Rammstein,1
Weisses Fleisch,Rammstein,37i9dQZF1DZ06evO3RbzfW,3c02RAbOojbCSXQebk6Sf1,0.603,0.75,10,-9.282,0.0378,9.4e-06,0.0839,0.0667,0.611,This is Rammstein,1
Bück dich,Rammstein,37i9dQZF1DZ06evO3RbzfW,0HSVba6oa1QdUkco67C3e3,0.693,0.979,9,-5.101,0.0913,0.00655,0.291,0.0265,0.653,This is Rammstein,1
Rammlied,Rammstein,37i9dQZF1DZ06evO3RbzfW,1jBL8PB3CqDYjR0luCpX00,0.507,0.944,0,-4.35,0.0577,0.000486,0.521,0.0733,0.0689,This is Rammstein,1
Mann gegen Mann,Rammstein,37i9dQZF1DZ06evO3RbzfW,0GxIAMtKFYTQZpR1avO6HB,0.448,0.878,8,-5.288,0.0727,0.000703,0.193,0.063,0.579,This is Rammstein,1
Tier,Rammstein,37i9dQZF1DZ06evO3RbzfW,0S2UfCA5A275xChEi9a6vU,0.591,0.942,7,-4.975,0.0576,0.00429,0.0558,0.18,0.456,This is Rammstein,1
